filename	author	author_birth_year	author_death_year	realname	title	source_title	colophon	first_book_publication	edition_year	firstprint_description	year
leskov.ocharovannyy_strannik.txt	Лесков, Николай Семёнович	1831	1895		Очарованный странник	Собрание сочинений. Н.С. Лесков. Лесков. 1831-1895, Т. 1. [Примеч. Е. Любимовой]. [Сост., общ. ред., вступ. ст., с. 3-44, В.Ю. Троицкого. Иллюстрации И.С. Глазунова]	М.: Правда, 1989	1874	1989	"Очарованный странник. рассказ Н.С. Лескова, Санктпетербург газета ""Русский мир"" 1874"	1874
leskov.oskorblennaya_neteta.txt	Лесков, Николай Семёнович	1831	1895		Оскорбленная Нетэта	Час воли божией. Легенды и сказки. Н.С. Лесков	М.: Терра, Кн. клуб, 2004	1917	2004	Невский альманах. 1917. Вып. 2, 	1917
leskov.ostrovityane.txt	Лесков, Николай Семёнович	1831	1895		Островитяне	Собрание сочинений. Под общ. ред. В.Г. Базанова [и др.. Лесков. 1831-1895, [Островитяне. Старые годы в селе Плодомасове. Загадочный человек. Смех и горе. Подготовка текста и примеч. И.З. Сермана]	М.: Гослитиздат., [Ленингр. отд-ние], 1956	1866	1957	"Островитяне. Повесть М. Стебницкого (автора романа ""Некуда"" и ""Обойденные""), Санкт-Петербург М. Иванов 1866"	1866
leskov.pavlin.txt	Лесков, Николай Семёнович	1831	1895		Павлин	Рассказы и повести. Н.С. Лесков. [Послесл. А. Горелова. Худож. К. Сейталиев]	Фрунзе: Кыргызстан, 1983	1876	1983	Павлин. (Рассказ). Детские годы. (Из воспоминаний Меркула Праотцева). Соч. Н.С. Лескова, Санкт-Петербург А.Ф. Базунов 1876	1876
leskov.pecherskiye_antiki.txt	Лесков, Николай Семёнович	1831	1895		Печерские антики	Собрание сочинений. Н.С. Лесков. Лесков. 1831-1895, Т. 10. [Примеч. А. Шелаевой. Иллюстрации С.Н. Ерошкина]	М.: Правда, 1989	1883	1989	Киевская старина. 1883. Т. 5. № 2—4, 	1883
leskov.polunoshchniki.txt	Лесков, Николай Семёнович	1831	1895		Полунощники	"Собрание сочинений. Под общ. ред. В.Г. Базанова [и др.. Лесков. 1831-1895, [Час воли божией. По поводу ""Крейцеровой сонаты"". Невинный Пруденций. Полунощники. Юдоль. О ""квакереях"" (Post-scriptum к ""Юдоли""). Импровизаторы. Продукт природы. Загон. Административная грация. Зимний день. Дама и фефела. Заячий ремиз. Подготовка текста и примеч. А.И. Груздева и С.И. Груздевой]"	М.: Гослитиздат., [Ленингр. отд-ние], 1956	1893	1958	Собрание сочинений Н.С. Лескова. Лесков. 1831-1895, Час воли божией. Полунощники. Юдоль. О квакереях. Импровизаторы. Пустоплясы. Дурачок. Невинный Пруденций. Легендарные характеры, Санкт-Петербург тип. А.С. Суворина 1889-1896	1893
leskov.smekh_i_gore.txt	Лесков, Николай Семёнович	1831	1895		Смех и горе	Собрание сочинений. Под общ. ред. В.Г. Базанова [и др.. Лесков. 1831-1895, [Островитяне. Старые годы в селе Плодомасове. Загадочный человек. Смех и горе. Подготовка текста и примеч. И.З. Сермана]	М.: Гослитиздат., [Ленингр. отд-ние], 1956	1871	1957	Смех и горе. [Сатирические очерки]. Разнохарактерное potpourri. Из пестрых воспоминаний полинявшего человека. [Соч.] Н.С. Лескова (Стебницкого), Москва Университетск. тип. (Катков и К°) 1871	1871
leskov.soboryane.txt	Лесков, Николай Семёнович	1831	1895		Соборяне	Собрание сочинений. Н.С. Лесков. Лесков. 1831-1895, Т. 1. [Примеч. Е. Любимовой]. [Сост., общ. ред., вступ. ст., с. 3-44, В.Ю. Троицкого. Иллюстрации И.С. Глазунова]	М.: Правда, 1989	1872	1989	Соборяне. Старогородская хроника. [Соч.] Н. Лескова (Стебницкого), Москва Унив. тип. Катков и К° 1872	1872
leskov.staryye_gody_v_sele_plodomasove.txt	Лесков, Николай Семёнович	1831	1895		Старые годы в селе Плодомасове	Собрание сочинений. Под общ. ред. В.Г. Базанова [и др.. Лесков. 1831-1895, [Островитяне. Старые годы в селе Плодомасове. Загадочный человек. Смех и горе. Подготовка текста и примеч. И.З. Сермана]	М.: Гослитиздат., [Ленингр. отд-ние], 1956	ценз. 1888	1957	Старые годы в селе Плодомасове. Три очерка: I. Боярин Никита Юрьич. II. Боярыня Марфа Андреевна. III. Плодомасовские карлики. Н.С. Лесков, Санкт-Петербург А.С. Суворин ценз. 1888	1888
leskov.voitelnitsa.txt	Лесков, Николай Семёнович	1831	1895		Воительница	Повести. Рассказы. Н.С. Лесков	М.: Дрофа, Вече, 2003	1873	2003	Сборник мелких беллетристических произведений Н.С. Лескова-Стебницкого, Санкт-Петербург тип. Скарятина 1873	1873
leskov.zagadochnyy_chelovek.txt	Лесков, Николай Семёнович	1831	1895		Загадочный человек	Собрание сочинений. Под общ. ред. В.Г. Базанова [и др.. Лесков. 1831-1895, [Островитяне. Старые годы в селе Плодомасове. Загадочный человек. Смех и горе. Подготовка текста и примеч. И.З. Сермана]	М.: Гослитиздат., [Ленингр. отд-ние], 1956	1871	1957	Загадочный человек. Эпизод из истории комич. времени на Руси. С письмом авт. к Ивану Сергеевичу Тургеневу. Н.С. Лесков-Стебницкий, Санкт-Петербург тип. В. Безобразова и К° 1871	1871
leskov.zakhudalyy_rod.txt	Лесков, Николай Семёнович	1831	1895		Захудалый род	Собрание сочинений. Н.С. Лесков. Лесков. 1831-1895, Т. 6. [Примеч. А. Горелова. Иллюстрации С.Н. Ефошкина]	М.: Правда, 1989	1875	1989	Захудалый род. Семейн. хроника князей Протозановых. (Из записок княжны В. Д. П.). В 2 ч. Соч. Н.С. Лескова, Санкт-Петербург А.Ф. Базунов 1875	1875
